area,cell_label,file,mean_int,rbs,var_int
160.0,5.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos3.ome.tif,14163.370130890147,sd1,467288.84955753275
372.0,1.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos14.ome.tif,14301.831092760767,sd1,510686.8965276999
413.0,2.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos14.ome.tif,14070.12798246601,sd1,448602.9731421032
363.0,3.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos14.ome.tif,14345.855099649169,sd1,475173.3728005066
176.0,4.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos14.ome.tif,14079.308189923635,sd1,596545.4315610676
160.0,5.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos14.ome.tif,14414.076057112117,sd1,651187.7431219829
372.0,1.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos6.ome.tif,14223.98786423123,sd1,532192.4707732769
413.0,2.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos6.ome.tif,14271.199547200493,sd1,726711.2076525973
363.0,3.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos6.ome.tif,14236.64877599387,sd1,567652.7949634505
176.0,4.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos6.ome.tif,14390.741010303609,sd1,597284.0338457229
160.0,5.0,../../data/images/20170421_sd1_pre_1200ulmin_0.71hz_shock/SD1_1200ulmin_pre_1_MMStack_Pos6.ome.tif,14143.220289011699,sd1,569698.710793433
